Program,Round,Project Number,Project Title,Project Description,Field of Research (FOR) - Level 1 Division Code,FOR - Level 1 Division Title,FOR - Level 2 Group Code,FOR - Level 2 Group Title,FOR - Level 3 Class Code,FOR - Level 3 Class Title,FOR - Level 4 Sub-Class Code,FOR - Level 4 Sub-Class Title,Lead Research Institution,Institution Type,City,Approval Date,Fiscal Year,Ontario Commitment,Total Project Costs,Salutation,First Name,Middle Name,Last Name,Expenditure Type,Language,Keywords,population,per_capita_funding
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44120,The Individual Variation Across the Lifespan Project: a collaborative examination of language acquisition and use,"Individuals can vary dramatically in how they learn and use language. In this project, we investigate the nature of this variation in first language acquisition, second language acquisition, and adult speech to better inform solutions for practical issues facing Ontarians.",RDF60,Humanities and the arts,RDF602,Languages and literature,RDF60202,Linguistics,RDF6020204,Phonetics and speech sciences,Carleton University,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,40000,107188,Dr.,Bethany,null,MacLeod,Capital,English,"experimental linguistics, individual variation, language development, second language acquisition, adult speech, perception, production, phonetics, phonology",1291272,0.030977207
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44128,Hydrogen Energy Advances Lab Infrastructure,"This research uses metals as a long-duration energy storage mechanism and to enable a global trade in clean energy. The study will focus on the reaction of metals with water to produce hydrogen on demand. Ontario, with its vast renewable resources and expertise in metal production, is well-positioned to lead the global trade in metal fuels.",RDF20-21,Engineering and technology,RDF204,Mechanical engineering,RDF20499,Other mechanical engineering,RDF2049999,"Other mechanical engineering, n.e.c.",McMaster University,University,Hamilton,2024-05-31 00:00:00 UTC,2024-25,150000,375004,Dr.,Keena,null,Trowell,Capital,English,"Hydrogen, metal-water reactions, supercritical water, metal fuels, circular fuels, energy storage",862679,0.173876958
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44131,Systems chemistry,The goal of this project is to experimentally reconstruct abiotic self-organized chemistry that resembles biological metabolism. The project will give fundamental insight into the origins of life as well as provide new strategies to use CO2 to build biological molecules with minimal waste.,RDF10,Natural Sciences,RDF104,Chemical Sciences,RDF10403,Organic Chemistry,RDF1040399,"Organic chemistry, n.e.c.",University of Ottawa,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,438452,1096132,Dr.,Joseph,null,Moran,Capital,English,"prebiotic chemistry, reaction networks, CO2 fixation, green chemistry, chemistryin water, catalysis, origin of life",1291272,0.339550459
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44139,"Resource Insecurity, Health and Sustainable Livelihoods","This project seeks to quantify and understand the co-occurrence of food, water, energy, and housing insecurity and their compounding effects on vulnerable populations in Low- and Middle-Income Countries. Secondly, it seeks to examine the role of environmental degradation and climatic conditions on health outcomes in poor resource settings.",RDF303,Health Sciences,RDF30302,Public and population health,RDF3030217,Global Health,null,null,York University,University,Toronto,2024-05-31 00:00:00 UTC,2024-25,35000,87655,Dr.,Godfred,null,Boateng,Capital,English,"Resource insecurity, water insecurity, housing insecurity, environmentalpollution, climate change, energy insecurity, health equity",7109866,0.004922737
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44151,The composition and distribution of platinum-group minerals in rocks,State-of-the art microscopy and novel geochemical tools will be used to elucidate the formation of socio-economically critical platinum-rich minerals in magmatic settings. This will lead to the development of technically advanced new workflows for mapping their composition and distribution in rocks.,RDF10,Natural sciences,RDF105,Earth and related environmental sciences,RDF10503,Geology,RDF1050305,Ore deposit petrology,University of Ottawa,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,136950,452944,Dr.,Brian,null,O'Driscoll,Capital,English,"Platinum-group minerals, layered intrusions, ophiolites, chromitite, sulfide,mantle petrology, impactite",1291272,0.106058212
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44155,Single-Crystal X-ray Diffractometer: Critical Infrastructure for Advanced Materials Research at the University of Guelph,Our objective is to design and create innovative materials to address two areas of societal need; to reach global carbon dioxide sequestration targets and the advancement in computational capability. The use of Single Crystal X-ray Diffraction will play a vital role in understanding the fundamental chemical behavior of the materials.,RDF10,Natural Sciences,RDF104,Chemical Sciences,RDF10402,Inorganic Chemistry,RDF1040208,Inorganic Materials,University of Guelph,University,Guelph,2024-05-31 00:00:00 UTC,2024-25,305000,762522,Dr.,Jennifer,null,Murphy,Capital,English,"Carbon Capture Materials, Amines, Single Molecule Magnets, Radical Ligands,Hybrid Materials, Qubits",182615,1.670180434
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44161,Imaging system for the development of medical microrobots,"The proposed research focuses on the development of biohybrid, cell-based microrobots for drug and cell delivery in the reproductive tract. The requested infrastructure will allow the investigation of microrobot performance in complex environments such as 3D organ models and interaction with target tissues.",RDF20-21,Engineering and technology,RDF207,Medical and biomedical engineering,RDF20701,Medical and biomedical engineering,RDF2070108,Biomedical robotics,University of Waterloo,University,Waterloo,2024-05-31 00:00:00 UTC,2024-25,80000,201897,Dr.,Veronika,null,Magdanz,Capital,English,"biomedical engineering, microrobots, microscopy, microrobot fabrication, drug delivery, cell delivery, 3Dprinted organ models",699402,0.11438343
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44180,An indoor air quality and occupant exposure testing and monitoring laboratory,A new research facility is requested to study the impact of indoor pollutant sources and mitigation measures and to explore the influence of occupant activities on indoor air quality. Novel control strategies to improve mitigation measures and a framework for long-term indoor air quality monitoring and analysis will be developed.,RDF20-21,Engineering and technology,RDF201,"Civil engineering, maritime engineering, transport engineering and mining engineering",RDF20101,Civil engineering,RDF2010199,"Civil engineering, n.e.c. - Indoor air and environmental quality analysis",University of Waterloo,University,Waterloo,2024-05-31 00:00:00 UTC,2024-25,100000,305124,Dr.,Tianyuan,null,Li,Capital,English,"Indoor air quality, ventilation, filtration, occupant behaviour, building performance, portable air cleaner, occupant exposure",699402,0.142979288
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44181,"Large-scale modelling of Lyme disease under climate, environmental and socio-demographic changes","This project aims to build a modelling infrastructure capable of predicting Lyme Disease transmission under various socio-ecological conditions that enables the evaluation of future scenarios for decision analysis, including the health and economic outcomes of policy interventions, and expansion to other diseases.",RDF30,"Medical, health and life sciences",RDF303,Health sciences,RDF30302,Public and population health,null,null,University of Ottawa,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,151603,379008,Dr.,Manisha,null,Kulkarni,Capital,English,"public health, infectious disease modelling, economic evaluation, drones, insect chamber, biosafety cabinet, qPCR, high performance computing",1291272,0.117405938
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44183,Single-Cell Analysis of Epithelial-Mesenchymal Plasticity,"The requested equipment will support innovative research and training to address three major health challenges: ovarian cancer, colorectal cancer and Parkinson’s disease, will be investigated. Defining the molecular changes that occur with disease progression and with treatment will identify strategies to improve health outcomes.",RDF30,"Medical, health and life sciences",RDF201,Basic medicine and life sciences,RDF30102,Cancer,RDF3010201,Cancer progression and metastasis,University of Ottawa,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,700000,1994106,Dr.,Barbara,null,Vanderhyden,Capital,English,"single-cell RNA sequencing, CRISPR screens, epigenetic mapping, epithelial-mesenchymal plasticity, NovaSeq",1291272,0.542101122
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44189,Investigating the impact of aging and infections on the induction of Trained Immunity in asthma,The objective of this proposal is to investigate the link between childhood respiratory infections and subsequent risk for asthma development. Defining detrimental signatures of innate immunity during allergic and infectious respiratory diseases can ultimately enable development of targeted immunotherapies for asthma.,RDF30,"Medical, health and life sciences",RDF301,Basic medicine and life sciences,RDF30101,Immunology,RDF3010107,Innate immunity,Queen's University,University,Kingston,2024-05-31 00:00:00 UTC,2024-25,517084,1296414,Dr.,Eva,null,Kaufmann,Capital,English,"Innate Immunity, Trained Immunity, Heamtopoietic Stem Cells, Asthma,Respiratory Infections, Epigenetics, Mouse models",192395,2.687616622
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44198,A cryo-EM drug discovery pipeline targeting the acetylcholine receptor for the treatment of neuromuscular disease,This proposal will develop a state-of-the-art cryo-electron microscopy drug discovery pipeline that will be used to elucidate the structures of key signaling complexes implicated in neuromuscular disorders. This project will support the design of small molecule therapeutics that target these complexes for treatment.,RDF10,Natural sciences,RDF10405,Biomolecular and medicinal chemistry,RDF1040503,Characterization of biological macromolecules and biological systems,null,null,University of Ottawa,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,292058,730145,Dr.,John,null,Baenziger,Capital,English,"acetylcholine receptor, structure-based drug design, cryo-electron microscopy, neuromuscular disease, congenital myasthenic syndromes, myasthenia gravis",1291272,0.226178528
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44201,Functional Structures Based on Main-Group Supramolecular Interactions,"We will explore unique non-covalent molecular interactions and their applications in developing novel porous materials, metal-free catalysts, and artificial nucleobases that will contribute to global efforts to combat climate change and creation of therapeutics for detecting and treating infections.",RDF10,Natural Sciences,RDF104,Chemical sciences,RDF10402,Inorganic chemistry,RDF1040204,Main group metal chemistry,Queen's University,University,Kingston,2024-05-31 00:00:00 UTC,2024-25,125000,312500,Dr.,Myongwon,Luicia,Lee,Capital,English,"Main group chemistry, Supramolecular chemistry, Synthesis, Porous materials, Supramolecular Catalysis, Anion binding, Nucleoside analogues",192395,0.649705034
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44203,Engineering Multifunctional All-liquid Soft Materials and Ultra-light Weight Aerogels,"Leveraging nanomaterials derived from Ontario's underutilized wood and graphite resources, this project will use new advanced manufacturing techniques to devise multifunctional 3D structures for different applications in public health, including shielding electromagnetic pollution.",RDF20-21,Engineering and technology,RDF206,Materials engineering and resources engineering,RDF20601,Materials engineering,RDF2060105,Functional materials in materials engineering sciences,University of Waterloo,University,Waterloo,2024-05-31 00:00:00 UTC,2024-25,80000,205365,Dr.,Milad,null,Kamkar,Capital,English,"Advanced Manufacturing, 3D Printing, Interfacial Assembly, Nanomaterials, Graphene, Cellulose Nanocrystals, Liquid-in-liquid Printing, Aerogels, Emulsions, Materials Engineering",699402,0.11438343
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44210,Landscapes in Transition: Environmental Sensitivities Due to Climate Change,"Climate change and other human activities are driving an increase in geohazards, such as flooding, landslides, drought, etc., globally. This project will use state of the art field, laboratory, and computing approaches to understand how landscapes are responding to increased hazards, and work to predict them in the future.",RDF10,Natural sciences,RDF105,Earth and related environmental sciences,RDF10506,Environmental geoscience,null,null,York University,University,Toronto,2024-05-31 00:00:00 UTC,2024-25,198161,495405,Dr.,Joshua,null,Thienpont,Capital,English,"landscape disturbance, climate change, water, lakes, rivers, permafrost, flooding, drought",7109866,0.027871271
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44224,Role of histone chaperones in neurodevelopment,"This project will develop a world-class laboratory to reveal new mechanisms that can be targeted to treat neurodevelopmental disorders. The incidence of neurodevelopmental disorders is rising in Canada, this research program will provide new insights and new targets to develop new treatments.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10611,"Neuroscience, biological and chemical aspects",RDF1061102,Molecular neuroscience,University of Ottawa,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,95000,237501,Dr.,Gilda,null,Stefanelli,Capital,English,"epigenetics, chromatin, neurodevelopment",1291272,0.073570867
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44225,Wound Infection Biomarker and Drug Discovery Facility,"Diabetic foot ulcers are a major complication of diabetes, leading to amputation and even death. This project will develop microbiome-based biomarkers of wound healing and new antimicrobial therapies targeting diabetic foot infection.",RDF30,"Medical, health and life sciences",RDF301,Basic medicine and life sciences,RDF30103,Medical Microbiology,RDF3010308,Human microbiota,McMaster University,University,Hamilton,2024-05-31 00:00:00 UTC,2024-25,353628,1050942,Dr.,Lindsay,null,Kalan,Capital,English,"microbiome, biofilm, wound infection, biomarker discovery, antibiotic discovery",862679,0.409918405
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44227,Ultra-sensitive Cryogenic Detector Development for Dark Matter and Neutrino Experiments,"Understanding fundamental physics laws beyond the Standard Model is a new frontier in physics research. The proposed research program will design and test the next generation of cryogenic solid-state particle detectors for dark matter and neutrino detection, with the aim of discovering new physics.",RDF10,Natural science,RDF103,Physical science,RDF10302,Subatomic physics,RDF1030202,"Particle physics, experimental",University of Toronto,University,Toronto,2024-05-31 00:00:00 UTC,2024-25,312000,873975,Dr.,Ziqing,null,Hong,Capital,English,"Particle physics, astrophysics, dark matter detection, neutrino physics, cryogenic detector, superconducting detector",7109866,0.043882684
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44245,Exploring the Landscape of Electrochemical Reactions and Improving Process Sustainability through Paired Synthesis,"The chemical industry is a major contributor to factors affecting climate change in part due to the reliance on fossil fuels as both energy and building blocks in chemical reactions. This research focuses on the design of chemical processes for the conversion of renewable materials into value-added products, with electricity as the energy source.",RDF10,Natural sciences,RDF104,Chemical sciences,RDF10406,Physical chemistry (including structural),RDF1040602,Electrochemistry,Queen's University,University,Kingston,2024-05-31 00:00:00 UTC,2024-25,125000,325289,Dr.,Rachel,null,Baker,Capital,English,"electrochemistry, paired electrosynthesis, green chemistry, organic synthesis, sustainability, renewable materials",192395,0.649705034
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44255,EquiCon: Equitable conservation for a sustainable future,Establishing protected areas is a key intervention to avert ecosystem collapse due to climate change. We will use wireless sensor networks to collect environmental data and develop models to monitor impacts of climate change and economic development to create conservation plans in Uganda with applications for Ontario.,RDF10,Natural sciences,RDF105,Earth and related environmental sciences,RDF10509,Geomatics and earth systems observations,RDF1050999,"Geomatics and earth systems observations, n.e.c.",Carleton University,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,75001,189704,Dr.,Dipto,null,Sarkar,Capital,English,"Distributed Climate Monitoring, Species Distribution Models, Biodiversity Monitoring, Protected Areas, Climate Change",1291272,0.058083038
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44257,Towards a mechanistic understanding of global change: effects of warming on biological processes across scales,The objective of this project is to understand how aquatic populations and communities respond to global change. It will use experimental populations of phytoplankton and blue mussels to test hypotheses about what facilitates and limits adaptation to climate warming and changing nutrient supplies.,RDF10,Natural sciences,RDF106,Biological sciences,RDF10603,Ecology,null,null,University of Guelph,University,Guelph,2024-05-31 00:00:00 UTC,2024-25,90000,303049,Dr.,Joanna,null,Bernhardt,Capital,English,"ecology, evolution, thermal ecology, physiology, algae, aquatic, global change, metabolic rates, seafood",182615,0.492840128
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44258,Helium Recovery System for the Biomolecular NMR Facility,"My laboratory is a world leader in developing Nuclear Magnetic Resonance (NMR) methods to study the structure and dynamics of biomolecules important in human disease. The magnets used for the NMR research require helium to function, with the helium recovery system  proposed here necessary for recycling this non-renewable element.",RDF10,Natural sciences,RDF104,Chemical sciences,RDF10405,Biomolecular and medicinal chemistry,RDF1040503,Characterization of biological macromolecules and biological systems,University of Toronto,University,Toronto,2024-05-31 00:00:00 UTC,2024-25,350000,948192,Dr.,Lewis,null,Kay,Capital,English,"NMR, Protein structure and dynamics, Biomolecules, Biophysical Chemistry, Biophysics, Biochemistry",7109866,0.049227369
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44259,Laboratory for Metabolism and Translational Science - LiMTS,"To develop new interventions targeting post-burn hypermetabolism for improved patient outcomes and novel tissue engineering therapeutic products for accelerated skin regeneration and restored tissue functions, revolutionizing the current treatments for burn patients.",RDF10,Natural sciences,RDF106,Biological sciences,RDF10602,Cell biology,RDF10602,Cell metabolism,McMaster University,University,Hamilton,2024-05-31 00:00:00 UTC,2024-25,400000,1015126,Dr.,Marc,null,Jeschke,Capital,English,"hypermetabolism, mitochondria, ageing, mesenchymal stem cell, thermal injury, regenerative medicine, 3D bioprinting, tissue engineering, translational research, wound healing",862679,0.463671887
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44260,Affordable Living Integrated Residential Testbed (ALIRT),"This residential testbed will be integrated with a commercial and institutional testbed, leveraging the IT infrastructure to develop, test and operationalize building control systems, and lead decarbonization efforts in new and retrofit contexts, improving the affordability, comfort, and health of Ontario residential environments.",RDF2030709,"Data-driven estimation, optimization, and control",RDF2030301,Learning and adaptive systems,RDF2010199,"Civil engineering, n.e.c. building systems and engineering",null,null,Toronto Metropolitan University,University,Toronto,2024-05-31 00:00:00 UTC,2024-25,395060,1186372,Dr.,Jennifer,null,McArthur,Capital,English,Smart Home Integration and Operationalization; Smart and OngoingCommissioning; Optimize Asset Performance; Digital Twin; DecarbonizationEffort,7109866,0.055565042
